00-001;Świętokrzyska 31/33;Warszawa;Mazowieckie;Warszawa
00-001;Świętokrzyska 31/33;Warszawa;Mazowieckie;Warszawa
00-002;Świętokrzyska 179;Warszawa;Mazowieckie;Warszawa
00-003;Jasna 42;Warszawa;Mazowieckie;Warszawa
00-004;Marszałkowska 163;Warszawa;Mazowieckie;Warszawa
00-005;Rysia 85;Warszawa;Mazowieckie;Warszawa
00-006;Szkolna 140;Warszawa;Mazowieckie;Warszawa
00-007;Jasna 176;Warszawa;Mazowieckie;Warszawa
00-008;Marszałkowska 180;Warszawa;Mazowieckie;Warszawa
00-009;Młynarskiego Emila 155;Warszawa;Mazowieckie;Warszawa
00-009;Moniuszki Stanisława 98;Warszawa;Mazowieckie;Warszawa
00-010;Sienkiewicza Henryka 128;Warszawa;Mazowieckie;Warszawa
00-011;Boduena Gabriela Piotra 126 172;Warszawa;Mazowieckie;Warszawa
00-012;Zgoda 127;Warszawa;Mazowieckie;Warszawa
00-013;Jasna 147;Warszawa;Mazowieckie;Warszawa
00-014;Moniuszki Stanisława 77;Warszawa;Mazowieckie;Warszawa
00-015;Sienkiewicza Henryka 13;Warszawa;Mazowieckie;Warszawa
00-016;Marszałkowska 18;Warszawa;Mazowieckie;Warszawa
00-017;Marszałkowska 62;Warszawa;Mazowieckie;Warszawa
00-018;Zgoda 118;Warszawa;Mazowieckie;Warszawa
00-019;Złota 126;Warszawa;Mazowieckie;Warszawa
00-020;Chmielna 15;Warszawa;Mazowieckie;Warszawa
00-020;Szpitalna 97;Warszawa;Mazowieckie;Warszawa
00-021;Chmielna 76;Warszawa;Mazowieckie;Warszawa
00-022;Krucza 74;Warszawa;Mazowieckie;Warszawa
00-023;Widok 189;Warszawa;Mazowieckie;Warszawa
00-024;Aleje Jerozolimskie 2;Warszawa;Mazowieckie;Warszawa
00-025;Krucza 161;Warszawa;Mazowieckie;Warszawa
00-026;Marszałkowska 3;Warszawa;Mazowieckie;Warszawa
00-026;Widok 49;Warszawa;Mazowieckie;Warszawa
00-027;Pasaż Śródmiejski 119;Warszawa;Mazowieckie;Warszawa
00-028;Bracka 126;Warszawa;Mazowieckie;Warszawa
00-029;Nowy Świat 140;Warszawa;Mazowieckie;Warszawa
00-030;Powstańców Warszawy 25;Warszawa;Mazowieckie;Warszawa
00-031;Szpitalna 134;Warszawa;Mazowieckie;Warszawa
00-032;Przeskok 111;Warszawa;Mazowieckie;Warszawa
00-033;Górskiego Wojciecha 197;Warszawa;Mazowieckie;Warszawa
00-034;Warecka 186;Warszawa;Mazowieckie;Warszawa
00-035;Tuwima Juliana 35;Warszawa;Mazowieckie;Warszawa
00-036;Baczyńskiego Krzysztofa Kamila 53;Warszawa;Mazowieckie;Warszawa
00-037;Kubusia Puchatka 197;Warszawa;Mazowieckie;Warszawa
00-038;Moniuszki Stanisława 170;Warszawa;Mazowieckie;Warszawa
00-039;Powstańców Warszawy 110;Warszawa;Mazowieckie;Warszawa
00-040;Warecka 23;Warszawa;Mazowieckie;Warszawa
00-041;Jasna 7;Warszawa;Mazowieckie;Warszawa
00-042;Nowy Świat 26;Warszawa;Mazowieckie;Warszawa
00-043;Czackiego Tadeusza 109;Warszawa;Mazowieckie;Warszawa
00-044;Świętokrzyska 147;Warszawa;Mazowieckie;Warszawa
00-046;Nowy Świat 59;Warszawa;Mazowieckie;Warszawa
00-047;Krakowskie Przedmieście 179;Warszawa;Mazowieckie;Warszawa
00-048;Mazowiecka 141;Warszawa;Mazowieckie;Warszawa
00-049;Świętokrzyska 85;Warszawa;Mazowieckie;Warszawa
00-050;Świętokrzyska 143;Warszawa;Mazowieckie;Warszawa
00-051;Dowcip 194;Warszawa;Mazowieckie;Warszawa
00-052;Mazowiecka 65;Warszawa;Mazowieckie;Warszawa
00-052;Świętokrzyska 162;Warszawa;Mazowieckie;Warszawa
00-054;Jasna 162;Warszawa;Mazowieckie;Warszawa
00-055;Dąbrowskiego Jana Henryka 102;Warszawa;Mazowieckie;Warszawa
00-056;Kredytowa 141;Warszawa;Mazowieckie;Warszawa
00-057;Dąbrowskiego Jana Henryka 87;Warszawa;Mazowieckie;Warszawa
00-058;Jasna 38;Warszawa;Mazowieckie;Warszawa
00-059;Rysia 21;Warszawa;Mazowieckie;Warszawa
00-060;Królewska 82;Warszawa;Mazowieckie;Warszawa
00-061;Marszałkowska 162;Warszawa;Mazowieckie;Warszawa
00-062;Kredytowa 199;Warszawa;Mazowieckie;Warszawa
00-062;Księdza Biskupa Burschego Juliusza 198;Warszawa;Mazowieckie;Warszawa
00-063;Małachowskiego Stanisława 149;Warszawa;Mazowieckie;Warszawa
00-064;Królewska 58;Warszawa;Mazowieckie;Warszawa
00-065;Królewska 92;Warszawa;Mazowieckie;Warszawa
00-066;Małachowskiego Stanisława 178;Warszawa;Mazowieckie;Warszawa
00-067;Pasaż Niżyńskiego 118;Warszawa;Mazowieckie;Warszawa
00-067;Traugutta Romualda 179;Warszawa;Mazowieckie;Warszawa
00-068;Generała Tokarzewskiego Karaszewicza Michała 145;Warszawa;Mazowieckie;Warszawa
00-068;Krakowskie Przedmieście 92;Warszawa;Mazowieckie;Warszawa
00-070;Kozia 90;Warszawa;Mazowieckie;Warszawa
00-071;Krakowskie Przedmieście 9;Warszawa;Mazowieckie;Warszawa
00-072;Ossolińskich 182;Warszawa;Mazowieckie;Warszawa
00-073;Marszałka Piłsudskiego Józefa 175;Warszawa;Mazowieckie;Warszawa
00-074;Trębacka 22;Warszawa;Mazowieckie;Warszawa
00-075;Senatorska 134;Warszawa;Mazowieckie;Warszawa
00-076;Moliera Jana Baptysty 184;Warszawa;Mazowieckie;Warszawa
00-077;Teatralny 63;Warszawa;Mazowieckie;Warszawa
00-078;Marszałka Piłsudskiego Józefa 193;Warszawa;Mazowieckie;Warszawa
